split_frac,burnin,ndraw,lam_frac,rho,tdf,snr,nactive,md5
0.82,10000,40000,2.0,0.3,inf,7.0,7,030cde95c0263a4a5b8fe23028eec5fe
0.96,10000,40000,2.0,0.3,inf,7.0,7,0809f7a6c20d4524357dc7d3d70706b0
0.87,10000,40000,2.0,0.3,inf,7.0,7,0c91e58e2d6d1685568e0a8e352c5cdf
0.5,10000,90000,2.0,0.3,inf,5.0,7,0d9cfdb95626785e99ad07f6548333d2
0.5,10000,20000,1.0,0.3,inf,7.0,7,16465ce9f1ab32f75bf007efbc7b6c22
0.75,10000,20000,2.0,0.3,inf,7.0,7,196ec19bfb36706187054963ffdfb2f2
0.6,10000,40000,2.0,0.3,inf,7.0,7,21b43752cea763d71ae75abb319d88c7
0.5,10000,40000,2.0,0.3,inf,5.0,7,28be66d4aad6e459f28cc3d6313cf44b
0.5,20000,80000,2.0,0.3,inf,9.0,7,2d4cd728a41e9f8ecbdb163216023814
0.5,10000,90000,0.5,0.3,inf,7.0,7,3469d228f23f424ebd36eae0ed9e0840
0.5,20000,80000,2.0,0.3,inf,7.0,7,36bfdb653c83da2f03f37adfa8bf42af
0.75,10000,40000,2.0,0.3,inf,7.0,7,37aee3cf7ebab51982a404cf956d5681
0.8,10000,40000,2.0,0.3,inf,7.0,7,45f378825e9ab64adde1b90a57696543
0.5,10000,20000,0.5,0.3,inf,7.0,7,4d2bab0ae7d1ea7ea91b41cc05d28fc5
0.5,10000,90000,2.0,0.3,5.0,7.0,7,5105db19113d40d7c19fa4ca94b5a051
0.9,10000,40000,2.0,0.3,inf,7.0,7,5411371e24eb1d4cb200157f51249451
0.5,10000,40000,2.0,0.3,inf,10.0,7,579f730626a506a31f3d8750571d67ff
0.99,10000,40000,2.0,0.3,inf,7.0,7,5b7bd04494a5e83e035f7edb4044e145
0.75,20000,80000,2.0,0.3,inf,9.0,7,5ec6b43c04971f3957a755d9d90c78f5
0.5,10000,20000,2.0,0.3,inf,9.0,7,62cebee13bdc803b4ba9905e855dd97c
0.4,10000,40000,2.0,0.3,inf,7.0,7,6fbdaae853a4acd38098a53fd5e0296c
0.98,10000,40000,2.0,0.3,inf,7.0,7,723b84789efe55f0908376b56399c7aa
0.5,10000,20000,2.0,0.3,inf,7.0,7,7973aceb05d14d8c9964c051963cb555
0.5,10000,40000,2.0,0.3,5.0,7.0,7,7bfdf12db625ac36573248a069bd2d7a
0.5,10000,90000,2.0,0.3,inf,9.0,7,7fced40b20995ececb226b2e8a8e717d
0.835,10000,40000,2.0,0.3,inf,7.0,7,8127fc58496d491fce9447a80c4d35c5
0.5,10000,40000,2.0,0.3,inf,7.0,7,83a135475b4462ee9725501363b29dff
0.5,10000,40000,1.0,0.3,inf,7.0,7,83f7ed6aee498394551e71bfae221911
0.3,10000,40000,2.0,0.3,inf,7.0,7,8437deb983a0af4aa9caef73569c572b
0.2,10000,40000,2.0,0.3,inf,7.0,7,973ff1c75a4f462ed08df4e926f980e1
0.5,10000,20000,2.0,0.3,inf,5.0,7,9af62bcc11f08d30394f8bacb944d75a
0.7,10000,40000,2.0,0.3,inf,7.0,7,a3cd2d77bd9a03f9613b877ce446c2ed
0.85,10000,40000,2.0,0.3,inf,7.0,7,bdb90346c2afb7f527bf1bdec8dd3814
0.5,10000,20000,2.0,0.3,5.0,7.0,7,be28f0888c7b4a17d2f094f4275e6e3c
0.5,10000,40000,2.0,0.3,inf,9.0,7,c5b750d7489734efadac978d128a8296
0.5,10000,20000,1.0,0.3,inf,5.0,7,d1e4d82f017ce33c2a28cc609441aaa2
0.5,10000,20000,2.0,0.3,inf,10.0,7,d6c99540ce040fec44722071dd480223
0.5,10000,90000,2.0,0.3,inf,7.0,7,d9727d462dc7b41801e0ab34a841c136
0.95,10000,40000,2.0,0.3,inf,7.0,7,e0c08feee8f2e27f386ddcfae97b8b79
0.5,10000,90000,2.0,0.3,inf,10.0,7,e0c3da17b36afc3d599c78b4816c0484
0.75,10000,90000,2.0,0.3,inf,7.0,7,e53875375cbc4064bde9005352c9c4bd
0.75,20000,80000,2.0,0.3,inf,7.0,7,f30c96c94b50a4200de00692c626c70f
